"","gender","publisher","year","et_1","n"
"45","Feminino","AAAI Press",2011,"Muslim",11
"46","Feminino","AAAI Press",2011,"WestEuropean",32
"47","Feminino","AAAI Press",2012,"Africans",5
"48","Feminino","AAAI Press",2012,"British",17
"49","Feminino","AAAI Press",2012,"EastEuropean",11
"50","Feminino","AAAI Press",2012,"GreaterEastAsian",91
"51","Feminino","AAAI Press",2012,"IndianSubContinent",12
"52","Feminino","AAAI Press",2012,"Jewish",26
"53","Feminino","AAAI Press",2012,"Muslim",6
"54","Feminino","AAAI Press",2012,"WestEuropean",33
"55","Feminino","AAAI Press",2013,"Africans",1
"56","Feminino","AAAI Press",2013,"British",17
"57","Feminino","AAAI Press",2013,"EastEuropean",6
"58","Feminino","AAAI Press",2013,"GreaterEastAsian",66
"59","Feminino","AAAI Press",2013,"IndianSubContinent",12
"60","Feminino","AAAI Press",2013,"Jewish",12
"61","Feminino","AAAI Press",2013,"Muslim",8
"62","Feminino","AAAI Press",2013,"WestEuropean",29
"63","Feminino","AAAI Press",2014,"Africans",2
"64","Feminino","AAAI Press",2014,"British",26
"65","Feminino","AAAI Press",2014,"EastEuropean",14
"66","Feminino","AAAI Press",2014,"GreaterEastAsian",202
"67","Feminino","AAAI Press",2014,"IndianSubContinent",18
"68","Feminino","AAAI Press",2014,"Jewish",25
"69","Feminino","AAAI Press",2014,"Muslim",15
"70","Feminino","AAAI Press",2014,"WestEuropean",41
"71","Feminino","AAAI Press",2015,"Africans",15
"72","Feminino","AAAI Press",2015,"British",99
"73","Feminino","AAAI Press",2015,"EastEuropean",47
"74","Feminino","AAAI Press",2015,"GreaterEastAsian",503
"75","Feminino","AAAI Press",2015,"IndianSubContinent",57
"76","Feminino","AAAI Press",2015,"Jewish",69
"77","Feminino","AAAI Press",2015,"Muslim",42
"78","Feminino","AAAI Press",2015,"WestEuropean",151
"79","Feminino","AAAI Press",2016,"Africans",8
"80","Feminino","AAAI Press",2016,"British",64
"81","Feminino","AAAI Press",2016,"EastEuropean",23
"82","Feminino","AAAI Press",2016,"GreaterEastAsian",376
"83","Feminino","AAAI Press",2016,"IndianSubContinent",45
"84","Feminino","AAAI Press",2016,"Jewish",38
"85","Feminino","AAAI Press",2016,"Muslim",18
"86","Feminino","AAAI Press",2016,"WestEuropean",71
"87","Feminino","ACM",2010,"Africans",43
"88","Feminino","ACM",2010,"British",423
"89","Feminino","ACM",2010,"EastEuropean",90
"90","Feminino","ACM",2010,"GreaterEastAsian",848
"91","Feminino","ACM",2010,"IndianSubContinent",179
"92","Feminino","ACM",2010,"Jewish",191
"93","Feminino","ACM",2010,"Muslim",114
"94","Feminino","ACM",2010,"WestEuropean",350
"95","Feminino","ACM",2011,"Africans",56
"96","Feminino","ACM",2011,"British",489
"97","Feminino","ACM",2011,"EastEuropean",119
"98","Feminino","ACM",2011,"GreaterEastAsian",853
"99","Feminino","ACM",2011,"IndianSubContinent",260
"100","Feminino","ACM",2011,"Jewish",213
"101","Feminino","ACM",2011,"Muslim",112
"102","Feminino","ACM",2011,"WestEuropean",431
"103","Feminino","ACM",2012,"Africans",70
"104","Feminino","ACM",2012,"British",461
"105","Feminino","ACM",2012,"EastEuropean",113
"106","Feminino","ACM",2012,"GreaterEastAsian",992
"107","Feminino","ACM",2012,"IndianSubContinent",216
"108","Feminino","ACM",2012,"Jewish",225
"109","Feminino","ACM",2012,"Muslim",126
"110","Feminino","ACM",2012,"WestEuropean",455
"111","Feminino","ACM",2013,"Africans",49
"112","Feminino","ACM",2013,"British",492
"113","Feminino","ACM",2013,"EastEuropean",127
"114","Feminino","ACM",2013,"GreaterEastAsian",1067
"115","Feminino","ACM",2013,"IndianSubContinent",230
"116","Feminino","ACM",2013,"Jewish",247
"117","Feminino","ACM",2013,"Muslim",148
"118","Feminino","ACM",2013,"WestEuropean",510
"119","Feminino","ACM",2014,"Africans",73
"120","Feminino","ACM",2014,"British",617
"121","Feminino","ACM",2014,"EastEuropean",149
"122","Feminino","ACM",2014,"GreaterEastAsian",1314
"123","Feminino","ACM",2014,"IndianSubContinent",273
"124","Feminino","ACM",2014,"Jewish",298
"125","Feminino","ACM",2014,"Muslim",178
"126","Feminino","ACM",2014,"WestEuropean",550
"127","Feminino","ACM",2015,"Africans",75
"128","Feminino","ACM",2015,"British",460
"129","Feminino","ACM",2015,"EastEuropean",145
"130","Feminino","ACM",2015,"GreaterEastAsian",1107
"131","Feminino","ACM",2015,"IndianSubContinent",212
"132","Feminino","ACM",2015,"Jewish",234
"133","Feminino","ACM",2015,"Muslim",133
"134","Feminino","ACM",2015,"WestEuropean",492
"135","Feminino","ACM",2016,"Africans",88
"136","Feminino","ACM",2016,"British",646
"137","Feminino","ACM",2016,"EastEuropean",181
"138","Feminino","ACM",2016,"GreaterEastAsian",1383
"139","Feminino","ACM",2016,"IndianSubContinent",315
"140","Feminino","ACM",2016,"Jewish",295
"141","Feminino","ACM",2016,"Muslim",201
"142","Feminino","ACM",2016,"WestEuropean",632
"143","Feminino","CEUR-WS.org",2010,"Africans",3
"144","Feminino","CEUR-WS.org",2010,"British",10
"145","Feminino","CEUR-WS.org",2010,"EastEuropean",4
"146","Feminino","CEUR-WS.org",2010,"Jewish",3
"147","Feminino","CEUR-WS.org",2010,"Muslim",1
"148","Feminino","CEUR-WS.org",2010,"WestEuropean",11
"149","Feminino","CEUR-WS.org",2011,"Africans",2
"150","Feminino","CEUR-WS.org",2011,"British",1
"151","Feminino","CEUR-WS.org",2011,"EastEuropean",7
"152","Feminino","CEUR-WS.org",2011,"GreaterEastAsian",4
"153","Feminino","CEUR-WS.org",2011,"Jewish",4
"154","Feminino","CEUR-WS.org",2011,"Muslim",3
"155","Feminino","CEUR-WS.org",2011,"WestEuropean",6
"156","Feminino","CEUR-WS.org",2012,"Africans",1
"157","Feminino","CEUR-WS.org",2012,"British",3
"158","Feminino","CEUR-WS.org",2012,"GreaterEastAsian",4
"159","Feminino","CEUR-WS.org",2012,"IndianSubContinent",1
"160","Feminino","CEUR-WS.org",2012,"Jewish",4
"161","Feminino","CEUR-WS.org",2012,"Muslim",3
"162","Feminino","CEUR-WS.org",2012,"WestEuropean",11
"163","Feminino","CEUR-WS.org",2013,"British",9
"164","Feminino","CEUR-WS.org",2013,"EastEuropean",1
"165","Feminino","CEUR-WS.org",2013,"GreaterEastAsian",9
"166","Feminino","CEUR-WS.org",2013,"Jewish",2
"167","Feminino","CEUR-WS.org",2013,"WestEuropean",8
"168","Feminino","CEUR-WS.org",2014,"Africans",1
"169","Feminino","CEUR-WS.org",2014,"British",8
"170","Feminino","CEUR-WS.org",2014,"EastEuropean",11
"171","Feminino","CEUR-WS.org",2014,"GreaterEastAsian",19
"172","Feminino","CEUR-WS.org",2014,"IndianSubContinent",10
"173","Feminino","CEUR-WS.org",2014,"Jewish",5
"174","Feminino","CEUR-WS.org",2014,"Muslim",7
"175","Feminino","CEUR-WS.org",2014,"WestEuropean",21
"176","Feminino","CEUR-WS.org",2015,"British",8
"177","Feminino","CEUR-WS.org",2015,"EastEuropean",17
"178","Feminino","CEUR-WS.org",2015,"GreaterEastAsian",11
"179","Feminino","CEUR-WS.org",2015,"IndianSubContinent",6
"180","Feminino","CEUR-WS.org",2015,"Jewish",7
"181","Feminino","CEUR-WS.org",2015,"Muslim",8
"182","Feminino","CEUR-WS.org",2015,"WestEuropean",58
"183","Feminino","CEUR-WS.org",2016,"Africans",4
"184","Feminino","CEUR-WS.org",2016,"British",17
"185","Feminino","CEUR-WS.org",2016,"EastEuropean",8
"186","Feminino","CEUR-WS.org",2016,"GreaterEastAsian",21
"187","Feminino","CEUR-WS.org",2016,"IndianSubContinent",13
"188","Feminino","CEUR-WS.org",2016,"Jewish",9
"189","Feminino","CEUR-WS.org",2016,"Muslim",7
"190","Feminino","CEUR-WS.org",2016,"WestEuropean",36
"191","Feminino","CWI/ACM",2013,"EastEuropean",1
"192","Feminino","CWI/ACM",2013,"GreaterEastAsian",5
"193","Feminino","CWI/ACM",2013,"IndianSubContinent",1
"194","Feminino","CWI/ACM",2013,"Jewish",1
"195","Feminino","CWI/ACM",2013,"WestEuropean",1
"196","Feminino","CWI/ACM",2014,"GreaterEastAsian",3
"197","Feminino","CWI/ACM",2014,"IndianSubContinent",1
"198","Feminino","CWI/ACM",2014,"Jewish",1
"199","Feminino","EasyChair",2012,"Africans",1
"200","Feminino","EasyChair",2012,"British",5
"201","Feminino","EasyChair",2012,"EastEuropean",1
"202","Feminino","EasyChair",2012,"GreaterEastAsian",4
"203","Feminino","EasyChair",2012,"Jewish",1
"204","Feminino","EasyChair",2012,"Muslim",5
"205","Feminino","EasyChair",2012,"WestEuropean",5
"206","Feminino","EasyChair",2013,"British",4
"207","Feminino","EasyChair",2013,"GreaterEastAsian",1
"208","Feminino","EasyChair",2013,"Jewish",2
"209","Feminino","EasyChair",2013,"Muslim",4
"210","Feminino","EasyChair",2013,"WestEuropean",7
"211","Feminino","EasyChair",2014,"Jewish",2
"212","Feminino","EasyChair",2015,"Africans",1
"213","Feminino","EasyChair",2015,"British",2
"214","Feminino","EasyChair",2015,"GreaterEastAsian",1
"215","Feminino","EasyChair",2015,"Jewish",1
"216","Feminino","EasyChair",2015,"WestEuropean",2
"217","Feminino","EasyChair",2016,"British",1
"218","Feminino","EasyChair",2016,"Jewish",2
"219","Feminino","EasyChair",2016,"Muslim",1
"220","Feminino","EasyChair",2016,"WestEuropean",1
"221","Feminino","icml.cc / Omnipress",2012,"British",6
"222","Feminino","icml.cc / Omnipress",2012,"EastEuropean",4
"223","Feminino","icml.cc / Omnipress",2012,"GreaterEastAsian",50
"224","Feminino","icml.cc / Omnipress",2012,"IndianSubContinent",9
"225","Feminino","icml.cc / Omnipress",2012,"Jewish",8
"226","Feminino","icml.cc / Omnipress",2012,"Muslim",1
"227","Feminino","icml.cc / Omnipress",2012,"WestEuropean",16
"228","Feminino","IEEE",2010,"Africans",6
"229","Feminino","IEEE",2010,"British",8
"230","Feminino","IEEE",2010,"EastEuropean",5
"231","Feminino","IEEE",2010,"GreaterEastAsian",210
"232","Feminino","IEEE",2010,"IndianSubContinent",28
"233","Feminino","IEEE",2010,"Jewish",9
"234","Feminino","IEEE",2010,"Muslim",7
"235","Feminino","IEEE",2010,"WestEuropean",26
"236","Feminino","IEEE",2011,"Africans",8
"237","Feminino","IEEE",2011,"British",11
"238","Feminino","IEEE",2011,"EastEuropean",5
"239","Feminino","IEEE",2011,"GreaterEastAsian",291
"240","Feminino","IEEE",2011,"IndianSubContinent",24
"241","Feminino","IEEE",2011,"Jewish",7
"242","Feminino","IEEE",2011,"Muslim",7
"243","Feminino","IEEE",2011,"WestEuropean",18
"244","Feminino","IEEE",2012,"Africans",9
"245","Feminino","IEEE",2012,"British",29
"246","Feminino","IEEE",2012,"EastEuropean",13
"247","Feminino","IEEE",2012,"GreaterEastAsian",345
"248","Feminino","IEEE",2012,"IndianSubContinent",35
"249","Feminino","IEEE",2012,"Jewish",17
"250","Feminino","IEEE",2012,"Muslim",15
"251","Feminino","IEEE",2012,"WestEuropean",72
"252","Feminino","IEEE",2013,"Africans",10
"253","Feminino","IEEE",2013,"British",33
"254","Feminino","IEEE",2013,"EastEuropean",7
"255","Feminino","IEEE",2013,"GreaterEastAsian",402
"256","Feminino","IEEE",2013,"IndianSubContinent",42
"257","Feminino","IEEE",2013,"Jewish",15
"258","Feminino","IEEE",2013,"Muslim",12
"259","Feminino","IEEE",2013,"WestEuropean",54
"260","Feminino","IEEE",2014,"Africans",5
"261","Feminino","IEEE",2014,"British",11
"262","Feminino","IEEE",2014,"EastEuropean",7
"263","Feminino","IEEE",2014,"GreaterEastAsian",364
"264","Feminino","IEEE",2014,"IndianSubContinent",23
"265","Feminino","IEEE",2014,"Jewish",3
"266","Feminino","IEEE",2014,"Muslim",14
"267","Feminino","IEEE",2014,"WestEuropean",37
"268","Feminino","IEEE",2015,"Africans",6
"269","Feminino","IEEE",2015,"British",22
"270","Feminino","IEEE",2015,"EastEuropean",3
"271","Feminino","IEEE",2015,"GreaterEastAsian",375
"272","Feminino","IEEE",2015,"IndianSubContinent",32
"273","Feminino","IEEE",2015,"Jewish",10
"274","Feminino","IEEE",2015,"Muslim",12
"275","Feminino","IEEE",2015,"WestEuropean",49
"276","Feminino","IEEE",2016,"Africans",10
"277","Feminino","IEEE",2016,"British",17
"278","Feminino","IEEE",2016,"EastEuropean",5
"279","Feminino","IEEE",2016,"GreaterEastAsian",376
"280","Feminino","IEEE",2016,"IndianSubContinent",32
"281","Feminino","IEEE",2016,"Jewish",9
"282","Feminino","IEEE",2016,"Muslim",17
"283","Feminino","IEEE",2016,"WestEuropean",40
"284","Feminino","IEEE/ACM",2012,"Africans",1
"285","Feminino","IEEE/ACM",2012,"British",6
"286","Feminino","IEEE/ACM",2012,"EastEuropean",1
"287","Feminino","IEEE/ACM",2012,"GreaterEastAsian",8
"288","Feminino","IEEE/ACM",2012,"IndianSubContinent",1
"289","Feminino","IEEE/ACM",2012,"Jewish",7
"290","Feminino","IEEE/ACM",2012,"Muslim",1
"291","Feminino","IEEE/ACM",2012,"WestEuropean",10
"292","Feminino","IEEE Computer Society",2010,"Africans",18
"293","Feminino","IEEE Computer Society",2010,"British",69
"294","Feminino","IEEE Computer Society",2010,"EastEuropean",49
"295","Feminino","IEEE Computer Society",2010,"GreaterEastAsian",305
"296","Feminino","IEEE Computer Society",2010,"IndianSubContinent",57
"297","Feminino","IEEE Computer Society",2010,"Jewish",45
"298","Feminino","IEEE Computer Society",2010,"Muslim",53
"299","Feminino","IEEE Computer Society",2010,"WestEuropean",171
"300","Feminino","IEEE Computer Society",2011,"Africans",13
"301","Feminino","IEEE Computer Society",2011,"British",84
"302","Feminino","IEEE Computer Society",2011,"EastEuropean",41
"303","Feminino","IEEE Computer Society",2011,"GreaterEastAsian",434
"304","Feminino","IEEE Computer Society",2011,"IndianSubContinent",90
"305","Feminino","IEEE Computer Society",2011,"Jewish",67
"306","Feminino","IEEE Computer Society",2011,"Muslim",39
"307","Feminino","IEEE Computer Society",2011,"WestEuropean",184
"308","Feminino","IEEE Computer Society",2012,"Africans",20
"309","Feminino","IEEE Computer Society",2012,"British",108
"310","Feminino","IEEE Computer Society",2012,"EastEuropean",44
"311","Feminino","IEEE Computer Society",2012,"GreaterEastAsian",425
"312","Feminino","IEEE Computer Society",2012,"IndianSubContinent",66
"313","Feminino","IEEE Computer Society",2012,"Jewish",73
"314","Feminino","IEEE Computer Society",2012,"Muslim",55
"315","Feminino","IEEE Computer Society",2012,"WestEuropean",213
"316","Feminino","IEEE Computer Society",2013,"Africans",31
"317","Feminino","IEEE Computer Society",2013,"British",170
"318","Feminino","IEEE Computer Society",2013,"EastEuropean",69
"319","Feminino","IEEE Computer Society",2013,"GreaterEastAsian",648
"320","Feminino","IEEE Computer Society",2013,"IndianSubContinent",131
"321","Feminino","IEEE Computer Society",2013,"Jewish",102
"322","Feminino","IEEE Computer Society",2013,"Muslim",74
"323","Feminino","IEEE Computer Society",2013,"WestEuropean",287
"324","Feminino","IEEE Computer Society",2014,"Africans",12
"325","Feminino","IEEE Computer Society",2014,"British",63
"326","Feminino","IEEE Computer Society",2014,"EastEuropean",30
"327","Feminino","IEEE Computer Society",2014,"GreaterEastAsian",409
"328","Feminino","IEEE Computer Society",2014,"IndianSubContinent",60
"329","Feminino","IEEE Computer Society",2014,"Jewish",52
"330","Feminino","IEEE Computer Society",2014,"Muslim",33
"331","Feminino","IEEE Computer Society",2014,"WestEuropean",139
"332","Feminino","IEEE Computer Society",2015,"Africans",24
"333","Feminino","IEEE Computer Society",2015,"British",178
"334","Feminino","IEEE Computer Society",2015,"EastEuropean",73
"335","Feminino","IEEE Computer Society",2015,"GreaterEastAsian",920
"336","Feminino","IEEE Computer Society",2015,"IndianSubContinent",121
"337","Feminino","IEEE Computer Society",2015,"Jewish",121
"338","Feminino","IEEE Computer Society",2015,"Muslim",75
"339","Feminino","IEEE Computer Society",2015,"WestEuropean",372
"340","Feminino","IEEE Computer Society",2016,"Africans",17
"341","Feminino","IEEE Computer Society",2016,"British",47
"342","Feminino","IEEE Computer Society",2016,"EastEuropean",31
"343","Feminino","IEEE Computer Society",2016,"GreaterEastAsian",537
"344","Feminino","IEEE Computer Society",2016,"IndianSubContinent",51
"345","Feminino","IEEE Computer Society",2016,"Jewish",36
"346","Feminino","IEEE Computer Society",2016,"Muslim",39
"347","Feminino","IEEE Computer Society",2016,"WestEuropean",120
"348","Feminino","IEEE Copmuter Society",2015,"GreaterEastAsian",1
"349","Feminino","IEEE Copmuter Society",2015,"WestEuropean",3
"350","Feminino","IJCAI/AAAI",2011,"Africans",5
"351","Feminino","IJCAI/AAAI",2011,"British",20
"352","Feminino","IJCAI/AAAI",2011,"EastEuropean",8
"353","Feminino","IJCAI/AAAI",2011,"GreaterEastAsian",101
"354","Feminino","IJCAI/AAAI",2011,"IndianSubContinent",14
"355","Feminino","IJCAI/AAAI",2011,"Jewish",26
"356","Feminino","IJCAI/AAAI",2011,"Muslim",6
"357","Feminino","IJCAI/AAAI",2011,"WestEuropean",65
"358","Feminino","IJCAI/AAAI",2013,"Africans",3
"359","Feminino","IJCAI/AAAI",2013,"British",22
"360","Feminino","IJCAI/AAAI",2013,"EastEuropean",16
"361","Feminino","IJCAI/AAAI",2013,"GreaterEastAsian",190
"362","Feminino","IJCAI/AAAI",2013,"IndianSubContinent",12
"363","Feminino","IJCAI/AAAI",2013,"Jewish",15
"364","Feminino","IJCAI/AAAI",2013,"Muslim",11
"365","Feminino","IJCAI/AAAI",2013,"WestEuropean",49
"366","Feminino","IJCAI/AAAI Press",2016,"Africans",6
"367","Feminino","IJCAI/AAAI Press",2016,"British",32
"368","Feminino","IJCAI/AAAI Press",2016,"EastEuropean",11
"369","Feminino","IJCAI/AAAI Press",2016,"GreaterEastAsian",300
"370","Feminino","IJCAI/AAAI Press",2016,"IndianSubContinent",22
"371","Feminino","IJCAI/AAAI Press",2016,"Jewish",28
"372","Feminino","IJCAI/AAAI Press",2016,"Muslim",27
"373","Feminino","IJCAI/AAAI Press",2016,"WestEuropean",63
"374","Feminino","International World Wide Web Conferences Steering Committee / ACM",2013,"Africans",10
"375","Feminino","International World Wide Web Conferences Steering Committee / ACM",2013,"British",38
"376","Feminino","International World Wide Web Conferences Steering Committee / ACM",2013,"EastEuropean",23
"377","Feminino","International World Wide Web Conferences Steering Committee / ACM",2013,"GreaterEastAsian",116
"378","Feminino","International World Wide Web Conferences Steering Committee / ACM",2013,"IndianSubContinent",31
"379","Feminino","International World Wide Web Conferences Steering Committee / ACM",2013,"Jewish",23
"380","Feminino","International World Wide Web Conferences Steering Committee / ACM",2013,"Muslim",12
"381","Feminino","International World Wide Web Conferences Steering Committee / ACM",2013,"WestEuropean",57
"382","Feminino","JMLR.org",2013,"Africans",4
"383","Feminino","JMLR.org",2013,"British",10
"384","Feminino","JMLR.org",2013,"EastEuropean",2
"385","Feminino","JMLR.org",2013,"GreaterEastAsian",83
"386","Feminino","JMLR.org",2013,"IndianSubContinent",22
"387","Feminino","JMLR.org",2013,"Jewish",22
"388","Feminino","JMLR.org",2013,"Muslim",2
"389","Feminino","JMLR.org",2013,"WestEuropean",24
"390","Feminino","JMLR.org",2014,"Africans",2
"391","Feminino","JMLR.org",2014,"British",12
"392","Feminino","JMLR.org",2014,"EastEuropean",5
"393","Feminino","JMLR.org",2014,"GreaterEastAsian",97
"394","Feminino","JMLR.org",2014,"IndianSubContinent",12
"395","Feminino","JMLR.org",2014,"Jewish",10
"396","Feminino","JMLR.org",2014,"Muslim",8
"397","Feminino","JMLR.org",2014,"WestEuropean",33
"398","Feminino","JMLR.org",2015,"Africans",2
"399","Feminino","JMLR.org",2015,"British",10
"400","Feminino","JMLR.org",2015,"EastEuropean",5
"401","Feminino","JMLR.org",2015,"GreaterEastAsian",92
"402","Feminino","JMLR.org",2015,"IndianSubContinent",14
"403","Feminino","JMLR.org",2015,"Jewish",16
"404","Feminino","JMLR.org",2015,"Muslim",5
"405","Feminino","JMLR.org",2015,"WestEuropean",24
"406","Feminino","JMLR.org",2016,"Africans",2
"407","Feminino","JMLR.org",2016,"British",14
"408","Feminino","JMLR.org",2016,"EastEuropean",14
"409","Feminino","JMLR.org",2016,"GreaterEastAsian",85
"410","Feminino","JMLR.org",2016,"IndianSubContinent",15
"411","Feminino","JMLR.org",2016,"Jewish",14
"412","Feminino","JMLR.org",2016,"Muslim",13
"413","Feminino","JMLR.org",2016,"WestEuropean",28
"414","Feminino","\N",2010,"GreaterEastAsian",1
"415","Feminino","\N",2011,"Africans",2
"416","Feminino","\N",2011,"British",1
"417","Feminino","\N",2011,"GreaterEastAsian",2
"418","Feminino","\N",2011,"Jewish",2
"419","Feminino","\N",2011,"WestEuropean",4
"420","Feminino","\N",2012,"GreaterEastAsian",1
"421","Feminino","\N",2012,"IndianSubContinent",1
"422","Feminino","\N",2013,"GreaterEastAsian",2
"423","Feminino","\N",2014,"GreaterEastAsian",3
"424","Feminino","\N",2014,"IndianSubContinent",2
"425","Feminino","\N",2014,"Jewish",1
"426","Feminino","\N",2015,"GreaterEastAsian",1
"427","Feminino","\N",2016,"Africans",2
"428","Feminino","\N",2016,"British",6
"429","Feminino","\N",2016,"EastEuropean",9
"430","Feminino","\N",2016,"GreaterEastAsian",6
"431","Feminino","\N",2016,"IndianSubContinent",5
"432","Feminino","\N",2016,"Jewish",3
"433","Feminino","\N",2016,"Muslim",4
"434","Feminino","\N",2016,"WestEuropean",22
"435","Feminino","Omnipress",2010,"Africans",3
"436","Feminino","Omnipress",2010,"British",8
"437","Feminino","Omnipress",2010,"GreaterEastAsian",32
"438","Feminino","Omnipress",2010,"IndianSubContinent",5
"439","Feminino","Omnipress",2010,"Jewish",13
"440","Feminino","Omnipress",2010,"Muslim",4
"441","Feminino","Omnipress",2010,"WestEuropean",12
"442","Feminino","Omnipress",2011,"Africans",1
"443","Feminino","Omnipress",2011,"British",4
"444","Feminino","Omnipress",2011,"EastEuropean",3
"445","Feminino","Omnipress",2011,"GreaterEastAsian",33
"446","Feminino","Omnipress",2011,"IndianSubContinent",4
"447","Feminino","Omnipress",2011,"Jewish",7
"448","Feminino","Omnipress",2011,"Muslim",2
"449","Feminino","Omnipress",2011,"WestEuropean",11
"450","Feminino","OpenProceedings.org",2014,"British",3
"451","Feminino","OpenProceedings.org",2014,"EastEuropean",2
"452","Feminino","OpenProceedings.org",2014,"GreaterEastAsian",32
"453","Feminino","OpenProceedings.org",2014,"IndianSubContinent",8
"454","Feminino","OpenProceedings.org",2014,"Jewish",10
"455","Feminino","OpenProceedings.org",2014,"Muslim",2
"456","Feminino","OpenProceedings.org",2014,"WestEuropean",14
"457","Feminino","OpenProceedings.org",2015,"Africans",3
"458","Feminino","OpenProceedings.org",2015,"British",1
"459","Feminino","OpenProceedings.org",2015,"EastEuropean",4
"460","Feminino","OpenProceedings.org",2015,"GreaterEastAsian",23
"461","Feminino","OpenProceedings.org",2015,"IndianSubContinent",5
"462","Feminino","OpenProceedings.org",2015,"Jewish",5
"463","Feminino","OpenProceedings.org",2015,"Muslim",5
"464","Feminino","OpenProceedings.org",2015,"WestEuropean",7
"465","Feminino","OpenProceedings.org",2016,"Africans",2
"466","Feminino","OpenProceedings.org",2016,"British",3
"467","Feminino","OpenProceedings.org",2016,"EastEuropean",6
"468","Feminino","OpenProceedings.org",2016,"GreaterEastAsian",36
"469","Feminino","OpenProceedings.org",2016,"IndianSubContinent",11
"470","Feminino","OpenProceedings.org",2016,"Jewish",8
"471","Feminino","OpenProceedings.org",2016,"Muslim",4
"472","Feminino","OpenProceedings.org",2016,"WestEuropean",18
"473","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2010,"EastEuropean",3
"474","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2010,"GreaterEastAsian",4
"475","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2010,"IndianSubContinent",3
"476","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2010,"Jewish",5
"477","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2010,"Muslim",1
"478","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2010,"WestEuropean",9
"479","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2011,"British",1
"480","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2011,"EastEuropean",2
"481","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2011,"GreaterEastAsian",7
"482","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2011,"IndianSubContinent",1
"483","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2011,"Jewish",5
"484","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2011,"Muslim",2
"485","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2011,"WestEuropean",15
"486","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2012,"British",2
"487","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2012,"GreaterEastAsian",3
"488","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2012,"IndianSubContinent",5
"489","Feminino","Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik",2012,"Jewish",6
