,Seu ingresso no curso de graduação se deu por meio de políticas de ação afirmativa ou inclusão social?,"Qual a renda total de sua família, incluindo seus rendimentos?",Quem lhe deu maior incentivo para cursar a graduação?,Alguém em sua família concluiu um curso superior?,Até que etapa de escolarização sua mãe concluiu?,Até que etapa de escolarização seu pai concluiu?,qtd
123,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),28
904,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),28
151,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),28
148,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),28
820,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),27
373,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),27
927,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),27
169,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,27
899,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,26
361,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),26
69,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),26
922,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),26
900,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),25
1085,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),25
775,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino médio,Ensino Médio,25
65,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Nenhuma,Nenhuma,24
781,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Pós-graduação,Ensino Superior - Graduação,24
158,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Nenhuma,Nenhuma,24
155,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino médio,Nenhuma,23
1087,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Médio,22
695,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino médio,Ensino Superior - Graduação,22
177,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),22
1101,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),22
362,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),22
584,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),22
1071,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),22
268,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),22
279,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Sim,Ensino médio,Ensino Médio,21
459,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Ensino Superior - Graduação,Pós-graduação,21
143,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),21
349,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),20
606,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Pós-graduação,Ensino Superior - Graduação,20
765,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino Superior - Graduação,Pós-graduação,20
921,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,20
160,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),20
780,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Pós-graduação,Ensino Médio,20
1081,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino médio,Ensino Médio,20
457,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Médio,19
911,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Nenhuma,Nenhuma,19
172,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),19
167,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,19
162,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,18
700,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Pós-graduação,Ensino Médio,18
1079,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),18
152,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),18
351,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,18
912,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),17
144,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,17
354,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),17
1217,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino médio,Ensino Médio,17
78,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),17
59,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),16
520,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Sim,Ensino médio,Ensino Médio,16
375,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,16
368,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),16
579,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),16
248,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),15
348,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,15
159,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),15
61,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino médio,Ensino Médio,15
470,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Pós-graduação,Ensino Médio,15
896,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),15
595,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),14
939,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),14
185,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Nenhuma,Nenhuma,14
150,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Nenhuma,14
905,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),14
192,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),14
1074,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,14
792,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),14
608,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Pós-graduação,Pós-graduação,14
134,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Sim,Ensino médio,Ensino Médio,14
371,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,14
467,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Ensino médio,Ensino Superior - Graduação,14
324,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),14
928,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),14
374,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),13
823,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,13
930,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino médio,Ensino Superior - Graduação,13
16,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),13
834,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Nenhuma,Nenhuma,13
777,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino médio,Pós-graduação,13
1102,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),13
9,Não,"Acima de 30 salários mínimos (mais de R$ 28110,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,12
1208,Sim,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),12
251,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,12
578,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),12
505,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Ninguém,Sim,Ensino Superior - Graduação,Ensino Médio,12
80,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino médio,Ensino Médio,12
258,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Ninguém,Não,Ensino médio,Ensino Médio,12
592,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,12
1096,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),12
1075,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),12
388,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Nenhuma,Nenhuma,12
919,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,12
837,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),12
30,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),11
902,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Médio,11
369,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Médio,11
110,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Outros membros da família que não os pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),11
389,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Pós-graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),11
350,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),11
805,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Colegas/Amigos,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),11
716,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Ninguém,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,11
1052,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Outros membros da família que não os pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),11
50,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),11
180,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino médio,Nenhuma,11
583,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino Superior - Graduação,Pós-graduação,10
1110,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Pós-graduação,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),10
468,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Ensino médio,Pós-graduação,10
1080,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),10
957,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),10
914,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Médio,10
54,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),10
195,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Professores,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,10
72,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,10
